"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0,0,0,0,0,-2.2313e-08
0.005,0,0,0,0,0,-0.0028662
0.01,0,0,0,0,0,-0.0092342
0.015,0,0,0,0,0,-0.015397
0.02,0,0,0,0,0,-0.019019
0.025,0,0,0,0,0,-0.018863
0.03,0,0,0,0,0,-0.014518
0.035,0,0,0,0,0,-0.0061781
0.04,0,0,0,0,0,0.0055441
0.045,0,0,0,0,0,0.019743
0.05,0,0,0,0,0,0.03531
0.055,0,0,0,0,0,0.051008
0.06,0,0,0,0,0,0.065553
0.065,0,0,0,0,0,0.077708
0.07,0,0,0,0,0,0.086405
0.075,0,0,0,0,0,0.0909
0.08,0,0,0,0,0,0.090958
0.085,0,0,0,0,0,0.087059
0.09,0,0,0,0,0,0.080615
0.095,0,0,0,0,0,0.074134
0.1,0,0,0,0,0,0.07127
0,0.005,0,0,0,0,0.0028411
0.005,0.005,0,-0.00031883,0.00033061,0,-6.5987e-05
0.01,0.005,0,-0.0020532,0.0014635,0,-0.0060932
0.015,0.005,0,-0.0054315,0.0024872,0,-0.011454
0.02,0.005,0,-0.0099571,0.0031269,0,-0.014421
0.025,0.005,0,-0.015039,0.0033473,0,-0.014037
0.03,0.005,0,-0.020103,0.0031841,0,-0.0099464
0.035,0.005,0,-0.024635,0.0026996,0,-0.0023065
0.04,0.005,0,-0.028213,0.0019655,0,0.0083507
0.045,0.005,0,-0.030523,0.0010563,0,0.021226
0.05,0.005,0,-0.031361,4.9096e-05,0,0.03533
0.055,0.005,0,-0.030642,-0.00097455,0,0.049555
0.06,0.005,0,-0.028411,-0.0019272,0,0.06275
0.065,0.005,0,-0.024842,-0.0027156,0,0.073808
0.07,0.005,0,-0.02025,-0.0032444,0,0.081781
0.075,0.005,0,-0.015084,-0.0034237,0,0.086015
0.08,0.005,0,-0.0098998,-0.003184,0,0.086311
0.085,0.005,0,-0.0053182,-0.0024989,0,0.083089
0.09,0.005,0,-0.0019496,-0.0014305,0,0.077466
0.095,0.005,0,-0.00026597,-0.00028801,0,0.071338
0.1,0.005,0,0,0,0,0.068439
0,0.01,0,0,0,0,0.0093956
0.005,0.01,0,-0.0014577,0.0020441,0,0.0058805
0.01,0.01,0,-0.0053134,0.0052231,0,-0.00048339
0.015,0.01,0,-0.011804,0.0079423,0,-0.0050775
0.02,0.01,0,-0.020011,0.009623,0,-0.0072642
0.025,0.01,0,-0.028987,0.01015,0,-0.0066414
0.03,0.01,0,-0.037819,0.0095916,0,-0.00299
0.035,0.01,0,-0.045671,0.008104,0,0.0035549
0.04,0.01,0,-0.051847,0.005884,0,0.012567
0.045,0.01,0,-0.055821,0.003148,0,0.023405
0.05,0.01,0,-0.057256,0.00012576,0,0.035269
0.055,0.01,0,-0.056014,-0.0029388,0,0.04725
0.06,0.01,0,-0.05217,-0.0057865,0,0.058401
0.065,0.01,0,-0.04602,-0.0081468,0,0.067809
0.07,0.01,0,-0.038085,-0.0097501,0,0.07469
0.075,0.01,0,-0.029097,-0.010353,0,0.078499
0.08,0.01,0,-0.019958,-0.0097801,0,0.079053
0.085,0.01,0,-0.01165,-0.0079847,0,0.076621
0.09,0.01,0,-0.0051578,-0.0051471,0,0.071757
0.095,0.01,0,-0.0013723,-0.0019335,0,0.065286
0.1,0.01,0,0,0,0,0.061779
0,0.015,0,0,0,0,0.016455
0.005,0.015,0,-0.002671,0.0055421,0,0.011596
